time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z
1777994164.5665565,98,0.1865,0,-22.6923,0.1050,-6.7246,0.026339,0.0057,-0.58,-9.68,-0.62
1777994164.8496091,99,0.1844,0,-19.4073,0.1150,-7.1270,0.039130,0.0057,2.43,-4.63,-0.49
1777994165.1166446,100,0.1810,0,-15.6594,0.1263,-7.3444,0.043032,0.0153,5.35,2.95,-0.95
1777994165.37117,101,0.1767,0,-11.9536,0.1372,-7.3911,0.038909,0.0054,8.33,12.19,-2.64
1777994165.6630096,102,0.1727,0,-8.5417,0.1469,-7.2933,0.024411,0.0121,12.45,21.14,-5.88
1777994165.9194293,103,0.1712,0,-5.7117,0.1548,-7.0849,0.009509,0.0046,17.77,28.17,-9.86
1777994166.1798453,104,0.1717,0,-3.9204,0.1596,-6.8122,0.001539,0.0057,24.20,32.48,-14.29
1777994166.4635081,105,0.1736,0,-3.2104,0.1613,-6.5199,0.000229,0.0105,30.34,34.21,-18.46
1777994166.7359586,106,0.1761,0,-2.8885,0.1618,-6.2241,0.000101,0.0123,34.53,34.57,-21.40
1777994166.996763,107,0.1778,0,-2.7430,0.1617,-5.9330,0.000074,0.0057,36.74,34.59,-22.98
1777994167.2681978,108,0.1778,0,-2.4138,0.1622,-5.6398,0.000335,0.0120,33.99,36.02,-21.54
1777994167.5489426,109,0.1758,0,-1.5014,0.1645,-5.3221,0.003210,0.0129,23.62,37.79,-14.84
1777994167.8364604,110,0.1731,0,0.3869,0.1696,-4.9423,0.012047,0.0142,7.83,37.51,-4.68
1777994168.083351,111,0.1708,0,2.5110,0.1753,-4.4944,0.011462,0.0066,-8.08,35.88,4.58
1777994168.3597963,112,0.1696,0,4.1366,0.1796,-4.0005,0.004295,0.0132,-20.04,32.92,10.99
1777994168.6317568,113,0.1690,0,5.0173,0.1816,-3.4915,0.000284,0.0124,-25.54,30.24,13.48
1777994168.904762,114,0.1690,0,4.8736,0.1807,-3.0075,0.000162,0.0063,-25.99,29.38,13.46
1777994169.168237,115,0.1700,0,4.4514,0.1789,-2.5572,0.000572,0.0131,-24.52,30.00,12.82
1777994169.4433064,116,0.1722,0,2.7078,0.1732,-2.1917,0.012169,0.0051,-16.57,32.49,9.14
1777994169.713472,117,0.1761,0,0.2765,0.1653,-1.9375,0.021429,0.0048,-2.25,34.22,1.57
1777994169.9802704,118,0.1798,0,-1.7795,0.1585,-1.7790,0.015706,0.0103,9.98,36.01,-5.73
1777994170.2421148,119,0.1821,0,-3.5682,0.1524,-1.7042,0.002702,0.0048,22.34,36.89,-13.78
1777994170.5228572,120,0.1826,0,-4.2136,0.1499,-1.6608,0.000194,0.0109,28.14,35.98,-17.42
1777994170.7861133,121,0.1825,0,-4.3552,0.1490,-1.6257,0.000343,0.0098,28.30,35.57,-17.32
1777994171.065058,122,0.1818,0,-4.6269,0.1476,-1.6035,0.000328,0.0140,29.92,34.78,-18.14
1777994171.31834,123,0.1799,0,-5.0213,0.1460,-1.5981,0.000331,0.0046,30.28,34.09,-18.13
1777994171.6000648,124,0.1777,0,-5.3474,0.1445,-1.6053,0.000489,0.0054,29.88,33.58,-17.64
1777994171.8670473,125,0.1762,0,-6.1184,0.1418,-1.6434,0.002580,0.0060,28.99,32.30,-16.42
1777994172.1316595,126,0.1753,0,-8.1312,0.1353,-1.7628,0.011540,0.0055,28.96,28.44,-14.69
1777994172.4123538,127,0.1754,0,-10.4297,0.1279,-1.9731,0.019012,0.0060,28.30,22.03,-11.77
1777994172.678433,128,0.1763,0,-12.4789,0.1213,-2.2626,0.016439,0.0089,27.28,15.48,-8.28
1777994172.952282,129,0.1766,0,-13.6890,0.1173,-2.5924,0.006406,0.0045,26.19,10.71,-5.39
1777994173.2140548,130,0.1762,0,-13.3029,0.1181,-2.8926,0.009773,0.0055,26.79,10.25,-5.38
