time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z
1778056499.134009,80,0.2003,0,8.1705,0.2273,4.4147,0.006863,0.0293,97.20,58.06,-98.24
1778056499.4244719,81,0.2012,0,5.7577,0.2207,4.6542,0.006952,0.0425,94.19,56.97,-94.65
1778056499.675038,82,0.2034,0,4.0507,0.2160,4.8563,0.007198,0.0355,82.45,54.55,-80.56
1778056499.950926,83,0.2059,0,0.4121,0.2064,4.9833,0.008296,0.0336,68.25,48.59,-62.90
1778056500.2096438,84,0.2074,0,-3.5872,0.1960,5.0283,0.024736,0.0287,52.02,39.71,-42.42
1778056500.4842706,85,0.2054,0,-6.7945,0.1878,5.0114,0.052295,0.0266,35.92,28.46,-23.74
1778056500.754811,86,0.2001,0,-9.8333,0.1803,4.9421,0.059889,0.0337,22.79,17.01,-10.66
1778056501.0270703,87,0.1928,0,-13.2404,0.1723,4.8207,0.037650,0.0242,12.98,8.32,-4.20
1778056501.2941597,88,0.1857,0,-16.6413,0.1648,4.6521,0.024357,0.0251,3.83,1.57,-1.74
1778056501.5693555,89,0.1810,0,-19.8637,0.1579,4.4394,0.026036,0.0316,-2.47,-4.13,-1.32
1778056501.836929,90,0.1795,0,-22.6267,0.1521,4.1860,0.020387,0.0341,-6.61,-8.86,-1.59
1778056502.097081,91,0.1815,0,-24.8621,0.1473,3.8936,0.008215,0.0315,-9.06,-12.35,-1.99
1778056502.3771453,92,0.1840,0,-26.1679,0.1444,3.5768,0.000672,0.0308,-8.90,-14.00,-2.17
1778056502.6371558,93,0.1861,0,-26.5394,0.1434,3.2527,0.000141,0.0240,-7.93,-14.52,-2.00
1778056502.9132595,94,0.1875,0,-26.2885,0.1436,2.9344,0.001019,0.0389,-6.35,-14.05,-1.60
1778056503.1798968,95,0.1873,0,-25.0238,0.1458,2.6432,0.009664,0.0285,-3.72,-12.54,-1.05
1778056503.4446034,96,0.1865,0,-22.6923,0.1500,2.3987,0.026339,0.0252,-0.58,-9.68,-0.62
1778056503.7385132,97,0.1844,0,-19.4073,0.1560,2.2186,0.039130,0.0365,2.43,-4.63,-0.49
1778056503.993836,98,0.1810,0,-15.6594,0.1626,2.1102,0.043032,0.0294,5.35,2.95,-0.95
1778056504.2695258,99,0.1767,0,-11.9536,0.1690,2.0705,0.038909,0.0287,8.33,12.19,-2.64
1778056504.5346558,100,0.1727,0,-8.5417,0.1746,2.0904,0.024411,0.0295,12.45,21.14,-5.88
1778056504.8093143,101,0.1712,0,-5.7117,0.1791,2.1561,0.009509,0.0274,17.77,28.17,-9.86
1778056505.0761428,102,0.1717,0,-3.9204,0.1818,2.2487,0.001539,0.0273,24.20,32.48,-14.29
1778056505.3534098,103,0.1736,0,-3.2104,0.1827,2.3500,0.000229,0.0261,30.34,34.21,-18.46
1778056505.6145835,104,0.1761,0,-2.8885,0.1829,2.4537,0.000101,0.0252,34.53,34.57,-21.40
1778056505.8770888,105,0.1778,0,-2.7430,0.1828,2.5571,0.000074,0.0259,36.74,34.59,-22.98
1778056506.1561093,106,0.1778,0,-2.4138,0.1831,2.6641,0.000335,0.0247,33.99,36.02,-21.54
1778056506.4312186,107,0.1758,0,-1.5014,0.1843,2.7850,0.003210,0.0228,23.62,37.79,-14.84
1778056506.7121484,108,0.1731,0,0.3869,0.1870,2.9349,0.012047,0.0232,7.83,37.51,-4.68
1778056506.9736192,109,0.1708,0,2.5110,0.1901,3.1162,0.011462,0.0232,-8.08,35.88,4.58
1778056507.2597454,110,0.1696,0,4.1366,0.1923,3.3201,0.004295,0.0285,-20.04,32.92,10.99
1778056507.5309443,111,0.1690,0,5.0173,0.1933,3.5345,0.000284,0.0243,-25.54,30.24,13.48
1778056507.8115427,112,0.1690,0,4.8736,0.1928,3.7434,0.000162,0.0283,-25.99,29.38,13.46
1778056508.07751,113,0.1700,0,4.4514,0.1919,3.9426,0.000572,0.0255,-24.52,30.00,12.82
1778056508.35792,114,0.1722,0,2.7078,0.1890,4.1112,0.012169,0.0280,-16.57,32.49,9.14
1778056508.6333008,115,0.1761,0,0.2765,0.1849,4.2374,0.021429,0.0254,-2.25,34.22,1.57
1778056508.9053533,116,0.1798,0,-1.7795,0.1815,4.3264,0.015706,0.0368,9.98,36.01,-5.73
1778056509.162011,117,0.1821,0,-3.5682,0.1784,4.3828,0.002702,0.0268,22.34,36.89,-13.78
1778056509.4436421,118,0.1826,0,-4.2136,0.1771,4.4269,0.000194,0.0267,28.14,35.98,-17.42
1778056509.7039094,119,0.1825,0,-4.3552,0.1766,4.4678,0.000343,0.0254,28.30,35.57,-17.32
1778056509.987192,120,0.1818,0,-4.6269,0.1760,4.5039,0.000328,0.0283,29.92,34.78,-18.14
1778056510.2515428,121,0.1799,0,-5.0213,0.1751,4.5342,0.000331,0.0339,30.28,34.09,-18.13
1778056510.5310736,122,0.1777,0,-5.3474,0.1744,4.5603,0.000489,0.0286,29.88,33.58,-17.64
1778056510.7996898,123,0.1762,0,-6.1184,0.1730,4.5747,0.002580,0.0335,28.99,32.30,-16.42
1778056511.0542724,124,0.1753,0,-8.1312,0.1699,4.5572,0.011540,0.0247,28.96,28.44,-14.69
1778056511.332,125,0.1754,0,-10.4297,0.1665,4.5031,0.019012,0.0255,28.30,22.03,-11.77
1778056511.6227365,126,0.1763,0,-12.4789,0.1634,4.4156,0.016439,0.0394,27.28,15.48,-8.28
1778056511.8732495,127,0.1766,0,-13.6890,0.1615,4.3094,0.006406,0.0199,26.19,10.71,-5.39
1778056512.14905,128,0.1762,0,-13.3029,0.1618,4.2113,0.009773,0.0313,26.79,10.25,-5.38
1778056512.4287846,129,0.1757,0,-12.0064,0.1633,4.1358,0.014290,0.0331,28.70,12.92,-7.35
1778056512.6856565,130,0.1752,0,-10.3296,0.1654,4.0884,0.009003,0.0279,30.13,15.89,-9.26
1778056512.966311,131,0.1749,0,-8.9066,0.1670,4.0644,0.001384,0.0323,31.08,18.34,-10.76
1778056513.2203615,132,0.1748,0,-8.4235,0.1675,4.0483,0.000064,0.0245,31.32,19.13,-11.28
1778056513.5043988,133,0.1748,0,-8.3676,0.1673,4.0330,0.000013,0.0318,31.33,19.18,-11.31
1778056513.7632723,134,0.1744,0,-8.4336,0.1670,4.0172,0.000028,0.0256,31.31,19.10,-11.26
1778056514.0249696,135,0.1743,0,-8.4646,0.1668,4.0009,0.000022,0.0262,31.30,19.03,-11.21
1778056514.3010993,136,0.1747,0,-8.4417,0.1666,3.9846,0.000047,0.0245,31.29,18.97,-11.17
1778056514.56052,137,0.1757,0,-7.8683,0.1671,3.9765,0.002451,0.0218,31.78,20.21,-12.14
1778056514.8328915,138,0.1767,0,-6.5101,0.1686,3.9888,0.013611,0.0308,34.90,25.18,-17.30
1778056515.1036448,139,0.1766,0,-5.1336,0.1701,4.0228,0.021743,0.0236,45.10,33.90,-31.72
1778056515.3862352,140,0.1759,0,-3.0463,0.1726,4.0897,0.017841,0.0432,60.78,42.96,-52.77
1778056515.6452637,141,0.1755,0,0.9174,0.1773,4.2182,0.008209,0.0369,77.78,50.21,-74.95
1778056515.9269524,142,0.1748,0,5.5814,0.1828,4.4181,0.004256,0.0400,92.20,54.69,-93.01
1778056516.1849332,143,0.1740,0,2.4172,0.1787,4.5653,0.003293,0.0358,110.85,52.96,-115.66
1778056516.4347854,144,0.1735,0,2.9507,0.1792,4.7186,0.001240,0.0226,119.27,50.70,-125.95
1778056516.7177403,145,0.1732,0,5.0646,0.1815,4.9025,0.001133,0.0279,121.92,49.76,-129.24
1778056516.980305,146,0.1753,0,6.6337,0.1831,5.1081,0.000964,0.0295,123.59,49.15,-131.29
1778056517.2379248,147,0.1803,0,8.0070,0.1846,5.3333,0.000832,0.0242,124.81,48.82,-132.74
1778056517.5075657,148,0.1877,0,8.5171,0.1850,5.5651,0.000392,0.0323,125.57,48.51,-133.68
1778056517.7803657,149,0.1953,0,8.5806,0.1848,5.7958,0.000307,0.0278,125.71,48.46,-133.84
1778056518.0587502,150,0.2019,0,8.4614,0.1844,6.0218,0.000252,0.0382,125.86,48.36,-134.04
1778056518.3116086,151,0.2071,0,8.0625,0.1836,6.2373,0.000052,0.0301,126.16,48.07,-134.49
1778056518.5794318,152,0.2104,0,7.9758,0.1833,6.4477,0.000012,0.0240,126.25,48.02,-134.61
1778056518.8516152,153,0.2125,0,7.9252,0.1829,6.6535,0.000028,0.0318,126.32,47.98,-134.70
1778056519.1136267,154,0.2117,0,7.6390,0.1823,6.8499,0.000158,0.0244,126.50,47.76,-134.99
1778056519.3703952,155,0.2087,0,7.4504,0.1818,7.0390,0.000152,0.0279,126.58,47.72,-135.09
1778056519.6471984,156,0.2047,0,7.2141,0.1812,7.2201,0.000119,0.0238,124.25,49.01,-132.05
1778056519.9160154,157,0.1999,0,6.3065,0.1799,7.3818,0.000844,0.0264,112.72,51.00,-118.00
1778056520.1785476,158,0.1937,0,2.1295,0.1745,7.4691,0.009203,0.0288,95.87,49.12,-97.30
1778056520.4401238,159,0.1858,0,-4.1797,0.1669,7.4538,0.017644,0.0271,77.34,44.99,-73.66
