time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x
1777994832.6236017,117,0.9965,0,21.7595,0.1880,23.3209,1.185129,0.0060,15.58
1777994832.8840396,118,0.9958,0,22.5728,0.1933,23.3086,1.307468,0.0064,19.65
1777994833.1517801,119,0.9952,0,23.4290,0.1988,23.4903,1.236894,0.0067,16.33
1777994833.4282343,120,0.9947,0,24.2892,0.2043,23.8243,1.013608,0.0055,11.22
1777994833.6995492,121,0.9947,0,24.8066,0.2069,24.2003,0.728867,0.0054,1.24
1777994833.9763262,122,0.9948,0,24.9381,0.2063,24.5226,0.502360,0.0090,-11.17
1777994834.2479699,123,0.9950,0,24.9441,0.2047,24.7745,0.383184,0.0089,-17.60
1777994834.5175872,124,0.9953,0,24.9542,0.2031,24.9725,0.314417,0.0085,-22.33
1777994834.7684574,125,0.9956,0,24.8587,0.2007,25.1046,0.287155,0.0054,-24.27
1777994835.0608437,126,0.9961,0,24.8743,0.1992,25.2100,0.328577,0.0143,-23.11
1777994835.3187597,127,0.9970,0,25.0229,0.1989,25.3245,0.332193,0.0139,-21.37
1777994835.591508,128,0.9981,0,24.9637,0.1968,25.3993,0.337790,0.0057,-20.17
1777994835.869206,129,0.9990,0,24.9402,0.1951,25.4511,0.346007,0.0056,-18.71
1777994836.1393976,130,0.9997,0,24.9870,0.1940,25.5008,0.294898,0.0050,-19.10
1777994836.4160922,131,0.9998,0,24.8356,0.1914,25.5044,0.260906,0.0075,-19.64
1777994836.6849873,132,0.9995,0,24.8786,0.1902,25.5157,0.222191,0.0059,-20.11
1777994836.9512653,133,0.9992,0,24.9524,0.1894,25.5402,0.183300,0.0076,-21.31
1777994837.2272038,134,0.9990,0,24.8339,0.1871,25.5315,0.169354,0.0055,-22.35
1777994837.4949882,135,0.9989,0,24.8910,0.1861,25.5366,0.165516,0.0101,-23.22
1777994837.755533,136,0.9988,0,24.9134,0.1849,25.5445,0.164713,0.0096,-23.26
1777994838.0244853,137,0.9989,0,24.9047,0.1835,25.5476,0.168066,0.0060,-23.28
1777994838.292616,138,0.9989,0,24.8983,0.1821,25.5476,0.170435,0.0051,-23.26
1777994838.5579293,139,0.9989,0,24.9381,0.1811,25.5556,0.169201,0.0095,-23.25
1777994838.8344777,140,0.9986,0,25.0108,0.1803,25.5771,0.181347,0.0066,-23.27
1777994839.0951211,141,0.9972,0,24.9978,0.1789,25.5902,0.228896,0.0139,-23.22
1777994839.3523068,142,0.9945,0,24.8569,0.1767,25.5685,0.300141,0.0085,-23.22
1777994839.6172097,143,0.9913,0,25.2808,0.1784,25.6456,0.417880,0.0061,-23.22
1777994839.890263,144,0.9881,0,24.9363,0.1748,25.6288,0.489290,0.0053,-23.30
1777994840.1614327,145,0.9861,0,24.7799,0.1726,25.5805,0.493335,0.0083,-23.42
1777994840.4344523,146,0.9857,0,24.9129,0.1723,25.5713,0.461147,0.0054,-23.44
1777994840.6963942,147,0.9859,0,24.4941,0.1684,25.4704,0.365667,0.0066,-23.47
1777994840.9648905,148,0.9862,0,24.4645,0.1670,25.3837,0.348820,0.0064,-23.34
1777994841.2434378,149,0.9861,0,24.1812,0.1641,25.2523,0.303919,0.0157,-23.11
1777994841.5048478,150,0.9854,0,23.4122,0.1579,24.9785,0.321427,0.0164,-22.97
1777994841.7578928,151,0.9842,0,22.6344,0.1518,24.5916,0.242004,0.0067,-22.81
1777994842.0392206,152,0.9829,0,22.1928,0.1480,24.1907,0.196214,0.0063,-22.67
1777994842.2997177,153,0.9817,0,21.9061,0.1452,23.8128,0.222558,0.0056,-22.63
1777994842.5716805,154,0.9808,0,21.9060,0.1443,23.5159,0.248212,0.0053,-22.53
1777994842.8372748,155,0.9802,0,21.8230,0.1428,23.2641,0.287128,0.0116,-22.50
1777994843.0861561,156,0.9799,0,21.6591,0.1409,23.0299,0.370757,0.0051,-22.46
1777994843.374055,157,0.9801,0,21.5620,0.1394,22.8239,0.443762,0.0057,-22.40
