time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x
1778070413.675369,116,0.9958,0,22.5728,0.1967,26.0822,1.307468,0.1111,19.65
1778070413.9282012,117,0.9952,0,23.4290,0.2023,26.0487,1.236894,0.1085,16.33
1778070414.2182577,118,0.9947,0,24.2892,0.2078,26.0941,1.013608,0.1187,11.22
1778070414.4772203,119,0.9947,0,24.8066,0.2104,26.1808,0.728867,0.1120,1.24
1778070414.7523973,120,0.9948,0,24.9381,0.2098,26.2707,0.502360,0.1218,-11.17
1778070415.0100753,121,0.9950,0,24.9441,0.2081,26.3520,0.383184,0.1081,-17.60
1778070415.302485,122,0.9953,0,24.9542,0.2065,26.4260,0.314417,0.1241,-22.33
1778070415.5828547,123,0.9956,0,24.8587,0.2040,26.4837,0.287155,0.1297,-24.27
1778070415.85031,124,0.9961,0,24.8743,0.2025,26.5364,0.328577,0.1287,-23.11
1778070416.1216965,125,0.9970,0,25.0229,0.2021,26.5965,0.332193,0.1197,-21.37
1778070416.4023995,126,0.9981,0,24.9637,0.2000,26.6447,0.337790,0.1241,-20.17
1778070416.6624792,127,0.9990,0,24.9402,0.1983,26.6852,0.346007,0.1034,-18.71
1778070416.9569738,128,0.9997,0,24.9870,0.1971,26.7250,0.294898,0.1270,-19.10
1778070417.2248023,129,0.9998,0,24.8356,0.1944,26.7465,0.260906,0.1208,-19.64
1778070417.5195158,130,0.9995,0,24.8786,0.1932,26.7687,0.222191,0.1415,-20.11
1778070417.7578022,131,0.9992,0,24.9524,0.1923,26.7944,0.183300,0.1070,-21.31
1778070418.054537,132,0.9990,0,24.8339,0.1899,26.8061,0.169354,0.1209,-22.35
1778070418.3184848,133,0.9989,0,24.8910,0.1890,26.8206,0.165516,0.1176,-23.22
1778070418.5754502,134,0.9988,0,24.9134,0.1877,26.8347,0.164713,0.1097,-23.26
1778070418.8606937,135,0.9989,0,24.9047,0.1863,26.8455,0.168066,0.1192,-23.28
1778070419.1082458,136,0.9989,0,24.8983,0.1848,26.8536,0.170435,0.0971,-23.26
1778070419.3725507,137,0.9989,0,24.9381,0.1838,26.8633,0.169201,0.1074,-23.25
1778070419.6583111,138,0.9986,0,25.0108,0.1830,26.8776,0.181347,0.1120,-23.27
1778070419.9230597,139,0.9972,0,24.9978,0.1816,26.8886,0.228896,0.1111,-23.22
1778070420.1846793,140,0.9945,0,24.8569,0.1793,26.8854,0.300141,0.1192,-23.22
1778070420.4392204,141,0.9913,0,25.2808,0.1810,26.9195,0.417880,0.0969,-23.22
1778070420.7222922,142,0.9881,0,24.9363,0.1773,26.9196,0.489290,0.1161,-23.30
1778070420.984688,143,0.9861,0,24.7799,0.1750,26.9052,0.493335,0.1030,-23.42
1778070421.2631474,144,0.9857,0,24.9129,0.1748,26.9027,0.461147,0.1165,-23.44
1778070421.5328155,145,0.9859,0,24.4941,0.1707,26.8624,0.365667,0.1181,-23.47
1778070421.7880743,146,0.9862,0,24.4645,0.1694,26.8216,0.348820,0.1104,-23.34
1778070422.0615451,147,0.9861,0,24.1812,0.1663,26.7582,0.303919,0.1128,-23.11
1778070422.3285985,148,0.9854,0,23.4122,0.1601,26.6316,0.321427,0.1193,-22.97
1778070422.5971625,149,0.9842,0,22.6344,0.1539,26.4464,0.242004,0.1163,-22.81
1778070422.8655312,150,0.9829,0,22.1928,0.1500,26.2372,0.196214,0.1183,-22.67
1778070423.1288645,151,0.9817,0,21.9061,0.1472,26.0195,0.222558,0.1175,-22.63
1778070423.3852668,152,0.9808,0,21.9060,0.1462,25.8189,0.248212,0.1093,-22.53
1778070423.6436574,153,0.9802,0,21.8230,0.1447,25.6268,0.287128,0.0968,-22.50
1778070423.92885,154,0.9799,0,21.6591,0.1428,25.4353,0.370757,0.1217,-22.46
1778070424.1878679,155,0.9801,0,21.5620,0.1413,25.2500,0.443762,0.1115,-22.40
1778070424.460299,156,0.9807,0,21.4942,0.1400,25.0729,0.423639,0.1182,-22.58
1778070424.7405014,157,0.9810,0,21.4421,0.1388,24.9047,0.359632,0.1171,-22.93
1778070424.9893012,158,0.9814,0,22.4635,0.1442,24.8384,0.526004,0.1106,-23.11
1778070425.2536206,159,0.9832,0,22.6660,0.1446,24.7939,0.427314,0.1111,-23.46
1778070425.5217695,160,0.9866,0,22.6898,0.1439,24.7537,0.438900,0.1124,-23.57
1778070425.785586,161,0.9913,0,22.9270,0.1444,24.7359,0.431465,0.1085,-23.52
1778070426.054379,162,0.9959,0,22.5271,0.1411,24.6828,0.231982,0.1092,-23.59
1778070426.3222952,163,0.9984,0,22.7590,0.1416,24.6533,0.190945,0.1129,-23.67
1778070426.5816946,164,0.9991,0,23.1411,0.1431,24.6591,0.091782,0.1038,-23.75
1778070426.844398,165,0.9989,0,23.3106,0.1433,24.6787,0.041249,0.1050,-23.80
1778070427.1389594,166,0.9988,0,23.2452,0.1420,24.6901,0.026953,0.1228,-23.71
1778070427.3821688,167,0.9991,0,22.7040,0.1379,24.6519,0.125745,0.1170,-23.56
1778070427.6461635,168,0.9994,0,23.0496,0.1392,24.6466,0.191116,0.1080,-23.45
1778070427.9236302,169,0.9995,0,22.8124,0.1369,24.6200,0.203835,0.1163,-23.42
1778070428.1825707,170,0.9996,0,22.6248,0.1350,24.5783,0.180524,0.1104,-23.39
1778070428.463677,171,0.9995,0,22.9766,0.1363,24.5704,0.086290,0.1215,-23.29
1778070428.7106237,172,0.9995,0,22.5165,0.1328,24.5218,0.011761,0.1165,-23.49
1778070429.0067673,173,0.9995,0,22.6611,0.1329,24.4893,0.003685,0.1312,-23.53
1778070429.2366686,174,0.9996,0,22.6628,0.1321,24.4590,0.003075,0.1096,-23.61
1778070429.5256023,175,0.9996,0,22.6712,0.1314,24.4312,0.002437,0.1182,-23.75
1778070429.7780125,176,0.9996,0,22.6560,0.1306,24.4037,0.002877,0.1165,-23.65
1778070430.0348604,177,0.9995,0,22.6430,0.1298,24.3766,0.003917,0.1039,-23.63
1778070430.317869,178,0.9995,0,22.6629,0.1291,24.3528,0.005103,0.1199,-23.60
1778070430.5834918,179,0.9994,0,22.6490,0.1283,24.3292,0.005567,0.1131,-23.59
1778070430.8469968,180,0.9993,0,22.6125,0.1273,24.3036,0.006290,0.1278,-23.58
1778070431.1078668,181,0.9992,0,22.5746,0.1264,24.2761,0.006517,0.1152,-23.57
1778070431.368041,182,0.9991,0,22.5172,0.1253,24.2452,0.005741,0.1043,-23.57
1778070431.6463153,183,0.9990,0,22.5427,0.1248,24.2185,0.004935,0.1201,-23.57
1778070431.9167068,184,0.9989,0,22.6118,0.1244,24.1994,0.003764,0.1188,-23.56
1778070432.1773076,185,0.9989,0,22.6730,0.1241,24.1866,0.002281,0.1168,-23.57
1778070432.4640148,186,0.9989,0,22.7280,0.1237,24.1791,0.000692,0.1312,-23.57
1778070432.7029026,187,0.9989,0,22.7609,0.1232,24.1745,0.000416,0.1087,-23.57
1778070432.9884984,188,0.9989,0,22.7597,0.1224,24.1695,0.000549,0.1274,-23.57
1778070433.1728637,189,0.9989,0,22.7488,0.1217,24.1633,0.000663,0.0503,-23.57
1778070433.4001608,190,0.9989,1,22.7488,0.1217,24.2850,0.000000,0.0000,-23.57
1778070433.6623535,191,0.9989,1,22.7488,0.1217,24.4067,0.000000,0.0000,-23.57
1778070433.9242828,192,0.9989,1,22.7488,0.1217,24.5283,0.000000,0.0000,-23.57
1778070434.1994083,193,0.9989,1,22.7488,0.1217,24.6500,0.000000,0.0000,-23.57
