time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x
1777982012.3498194,89,0.9990,0,-16.6549,-0.0234,-16.6861,0.107658,0.0837,-30.42
1777982012.5763092,90,0.9990,0,-16.7549,-0.0280,-16.7231,0.062281,0.0355,-19.24
1777982012.8404918,91,0.9989,0,-16.9549,-0.0383,-16.8037,0.037879,0.0789,-6.88
1777982013.0950909,92,0.9987,0,-16.9549,-0.0360,-16.8650,0.021190,0.0864,2.84
1777982013.3313372,93,0.9985,0,-16.9549,-0.0338,-16.9111,0.006942,0.0656,11.02
1777982013.5840526,94,0.9984,0,-16.9549,-0.0318,-16.9455,0.006129,0.0421,13.96
1777982013.8405762,95,0.9985,0,-16.9549,-0.0299,-16.9709,0.010282,0.0868,11.30
1777982014.0959697,96,0.9986,0,-16.9549,-0.0281,-16.9894,0.016277,0.0853,7.68
1777982014.3287194,97,0.9988,0,-16.9549,-0.0264,-17.0025,0.026778,0.0653,3.04
1777982014.5720441,98,0.9990,0,-16.8549,-0.0189,-16.9849,0.042362,0.0359,-3.11
1777982014.8217661,99,0.9991,0,-16.6549,-0.0057,-16.9170,0.052461,0.0604,-8.61
1777982015.0765545,100,0.9993,0,-16.5549,0.0006,-16.8372,0.060468,0.0690,-12.30
1777982015.3359697,101,0.9994,0,-16.4549,0.0066,-16.7483,0.067784,0.0669,-14.79
1777982015.5955172,102,0.9995,0,-16.4549,0.0062,-16.6791,0.067908,0.0783,-15.15
1777982015.852926,103,0.9996,0,-16.4549,0.0058,-16.6255,0.063289,0.0426,-13.95
1777982016.0959647,104,0.9996,0,-16.5549,-0.0005,-16.6104,0.055730,0.0888,-11.72
1777982016.3300831,105,0.9997,0,-16.6549,-0.0065,-16.6252,0.046740,0.0605,-9.42
1777982016.5932524,106,0.9997,0,-16.6549,-0.0061,-16.6365,0.039661,0.0782,-7.63
1777982016.831295,107,0.9997,0,-16.6549,-0.0057,-16.6450,0.036586,0.0363,-6.77
1777982017.0980496,108,0.9997,0,-16.6549,-0.0054,-16.6514,0.036472,0.0786,-6.88
1777982017.3250475,109,0.9997,0,-16.6549,-0.0051,-16.6561,0.036088,0.0586,-6.93
1777982017.582112,110,0.9997,0,-16.6549,-0.0048,-16.6596,0.035538,0.0713,-6.84
1777982017.8267276,111,0.9997,0,-16.6549,-0.0045,-16.6621,0.034812,0.0366,-6.69
1777982018.069708,112,0.9997,0,-16.6549,-0.0042,-16.6638,0.036996,0.0607,-6.42
1777982018.3281302,113,0.9997,0,-16.6549,-0.0040,-16.6649,0.052927,0.0573,-8.59
1777982018.5825984,114,0.9998,0,-16.4549,0.0083,-16.6124,0.086954,0.0735,-13.48
1777982018.8313715,115,0.9998,0,-16.3549,0.0138,-16.5452,0.109175,0.0718,-17.39
1777982019.079815,116,0.9998,0,-16.1549,0.0249,-16.4401,0.124972,0.0717,-21.56
1777982019.3225296,117,0.9999,0,-16.1549,0.0235,-16.3593,0.140140,0.0650,-23.43
1777982019.5696738,118,0.9999,0,-16.3549,0.0100,-16.3505,0.140044,0.0639,-21.86
1777982019.8318725,119,0.9999,0,-16.3549,0.0094,-16.3441,0.142780,0.0728,-22.19
1777982020.0795646,120,0.9999,0,-16.3549,0.0089,-16.3395,0.147774,0.0644,-23.14
1777982020.3304331,121,0.9999,0,-16.3549,0.0083,-16.3364,0.139419,0.0366,-21.60
1777982020.5823288,122,0.9999,0,-16.2549,0.0138,-16.3077,0.141702,0.0658,-21.65
1777982020.8308856,123,0.9998,0,-16.3549,0.0070,-16.3126,0.147264,0.0651,-21.37
1777982021.0784714,124,0.9998,0,-16.4549,0.0006,-16.3433,0.144567,0.0349,-20.37
