time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,k_b_w,k_delta_w,valley_jump_occurred,seed_lost_occurred
1779716472.389772,28,1.0000,0,22.0064,0.7878,28.4581,2.736984,0.2225,32.49,0.035714,0.159104,0,0
1779716472.640603,29,1.0000,0,22.4723,0.7767,28.1590,2.690459,0.2088,29.65,0.034483,0.159104,0,0
1779716472.9132206,30,0.9999,0,22.9704,0.7675,27.9788,2.544475,0.2175,25.47,0.033333,0.159104,0,0
1779716473.1747067,31,0.9999,0,23.4966,0.7597,27.9046,2.265058,0.2147,18.70,0.032258,0.159104,0,0
1779716473.4263675,32,0.9999,0,24.0312,0.7526,27.9213,1.885605,0.2073,11.35,0.031250,0.159104,0,0
1779716473.7142673,33,0.9998,0,24.5386,0.7452,28.0099,1.481309,0.2185,4.89,0.030303,0.159104,0,0
1779716473.9697165,34,0.9997,0,24.8358,0.7320,28.1206,1.128111,0.2191,-1.64,0.029412,0.159104,0,0
1779716474.2160382,35,0.9996,0,24.9885,0.7155,28.2242,0.836757,0.1958,-8.33,0.028571,0.159104,0,0
1779716474.5058029,36,0.9994,0,24.9998,0.6959,28.2967,0.693969,0.2260,-12.31,0.027778,0.159104,0,0
1779716474.7854636,37,0.9992,0,24.8997,0.6744,28.3239,0.739728,0.2399,-12.15,0.027027,0.159104,0,0
1779716475.0287127,38,0.9991,0,24.7227,0.6521,28.2999,0.988185,0.2186,-8.76,0.026316,0.159104,0,0
1779716475.2642837,39,0.9991,0,24.3794,0.6266,28.2036,1.436133,0.2024,-2.43,0.025641,0.159104,0,0
1779716475.547703,40,0.9986,0,23.8836,0.5985,28.0207,2.032151,0.2089,5.86,0.025000,0.159104,0,0
1779716475.8225162,41,0.9973,0,23.6118,0.5774,27.8069,2.435492,0.2242,15.92,0.024390,0.159104,0,0
1779716476.1067207,42,0.9953,0,23.2378,0.5548,27.5503,2.865148,0.2382,24.83,0.023810,0.159104,0,0
1779716476.351366,43,0.9930,0,22.9675,0.5358,27.2774,3.172965,0.2129,31.55,0.023256,0.159104,0,0
1779716476.6120608,44,0.9909,0,22.6906,0.5175,26.9901,3.478696,0.2138,38.49,0.022727,0.159104,0,0
1779716476.8725617,45,0.9894,0,22.4782,0.5014,26.7024,3.738234,0.2081,44.96,0.022222,0.159104,0,0
1779716477.1292021,46,0.9883,0,22.3841,0.4886,26.4352,3.871581,0.2047,50.04,0.021739,0.159104,0,0
1779716477.417437,47,0.9873,0,22.5800,0.4825,26.2363,3.914519,0.2396,54.19,0.021277,0.159104,0,0
1779716477.658865,48,0.9867,0,22.9484,0.4801,26.1249,3.806179,0.2184,56.38,0.020833,0.159104,0,0
1779716477.9468298,49,0.9870,0,22.9905,0.4713,26.0300,3.716223,0.2306,55.49,0.020408,0.159104,0,0
1779716478.1807244,50,0.9882,0,23.1176,0.4645,25.9635,3.534130,0.2015,52.50,0.020000,0.159104,0,0
1779716478.4979415,51,0.9901,0,23.1469,0.4561,25.9040,3.356317,0.2495,49.82,0.019608,0.159104,0,0
1779716478.9673617,52,0.9941,0,23.5977,0.4560,25.9231,2.938682,0.1940,41.21,0.019231,0.159104,0,0
1779716479.2720227,53,0.9951,0,23.6477,0.4483,25.9402,2.654570,0.2372,34.30,0.018868,0.159104,0,0
1779716479.517621,54,0.9959,0,23.6881,0.4408,25.9543,2.392540,0.2152,26.30,0.018519,0.159104,0,0
1779716479.77146,55,0.9965,0,23.7585,0.4341,25.9715,2.120654,0.2156,18.13,0.018182,0.159104,0,0
1779716480.0430868,56,0.9969,0,23.8819,0.4286,26.0006,1.866521,0.2154,10.71,0.017857,0.159104,0,0
1779716480.3399792,57,0.9972,0,24.0363,0.4238,26.0455,1.655133,0.2427,5.61,0.017544,0.159104,0,0
1779716480.5653694,58,0.9971,0,24.1299,0.4181,26.0934,1.524378,0.2080,1.68,0.017241,0.159104,0,0
